num_samples,mandel_size,max_iter,num_intervals,rt_size,pw_len
2500000,250,250,2500000,125,1
5000000,500,500,5000000,250,2
10000000,1000,1000,10000000,500,4
20000000,2000,2000,20000000,1000,8
40000000,4000,4000,40000000,2000,16
80000000,8000,8000,80000000,4000,32
160000000,16000,16000,160000000,8000,64
